prio,id,year,month,day,hours,minutes,seconds,duration,peoples,desc
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3
1,20250610101010,2025,6,10,10,10,10,10,elias;luc,hello :3